iter	Passed	Remaining
0	49	49252
1	51	25720
2	53	17771
3	55	13753
4	56	11290
5	58	9665
6	59	8486
7	61	7603
8	62	6922
9	64	6383
10	66	5938
11	67	5571
12	69	5255
13	70	4979
14	72	4744
15	73	4535
16	75	4356
17	76	4189
18	78	4045
19	79	3912
20	81	3790
21	82	3684
22	84	3588
23	86	3498
24	87	3414
25	89	3337
26	90	3273
27	92	3212
28	94	3150
29	95	3098
30	97	3044
31	99	2999
32	100	2957
33	102	2913
34	104	2868
35	105	2826
36	108	2829
37	110	2795
38	112	2761
39	113	2731
40	115	2696
41	116	2663
42	118	2632
43	119	2601
44	121	2584
45	123	2556
46	124	2531
47	126	2507
48	127	2482
49	129	2462
50	130	2435
51	131	2403
52	132	2373
53	133	2342
54	134	2315
55	135	2287
56	136	2263
57	137	2238
58	138	2216
59	139	2189
60	140	2167
61	142	2149
62	143	2127
63	143	2103
64	144	2084
65	145	2061
66	146	2040
67	147	2018
68	147	1995
69	148	1972
70	149	1950
71	149	1928
72	150	1908
73	150	1889
74	151	1868
75	152	1849
76	152	1832
77	153	1813
78	153	1795
79	154	1777
80	155	1759
81	155	1741
82	155	1721
83	156	1704
84	156	1687
85	157	1671
86	157	1655
87	158	1640
88	158	1626
89	159	1612
90	160	1598
91	160	1584
92	160	1569
93	161	1556
94	161	1542
95	162	1528
96	162	1515
97	163	1502
98	163	1489
99	164	1476
100	164	1463
101	164	1451
102	165	1439
103	165	1428
104	166	1417
105	166	1405
106	167	1394
107	167	1382
108	167	1371
109	168	1361
110	168	1350
111	169	1340
112	169	1329
113	169	1319
114	170	1309
115	170	1299
116	170	1289
117	171	1280
118	171	1270
119	172	1261
120	172	1252
121	172	1242
122	173	1233
123	173	1225
124	173	1216
125	174	1208
126	174	1199
127	174	1190
128	175	1183
129	175	1175
130	175	1167
131	176	1159
132	176	1151
133	177	1144
134	177	1136
135	177	1129
136	178	1122
137	178	1115
138	178	1108
139	179	1101
140	179	1094
141	179	1087
142	180	1080
143	180	1073
144	180	1066
145	181	1060
146	181	1053
147	181	1046
148	182	1040
149	182	1034
150	182	1027
151	183	1021
152	183	1015
153	183	1009
154	184	1003
155	184	998
156	184	992
157	185	986
158	185	980
159	185	975
160	185	968
161	186	963
162	186	958
163	186	952
164	187	947
165	187	942
166	187	936
167	188	931
168	188	926
169	188	921
170	189	917
171	189	912
172	190	908
173	190	903
174	190	899
175	191	894
176	191	890
177	191	885
178	192	881
179	192	877
180	192	872
181	193	868
182	193	864
183	193	859
184	194	855
185	194	851
186	194	846
187	195	842
188	195	838
189	195	834
190	196	830
191	196	826
192	196	822
193	197	818
194	197	814
195	197	811
196	198	807
197	198	803
198	198	799
199	198	795
200	199	792
201	199	788
202	199	784
203	200	781
204	200	777
205	200	773
206	201	770
207	201	766
208	201	763
209	202	760
210	202	757
211	202	753
212	203	750
213	203	747
214	203	743
215	204	740
216	204	737
217	204	734
218	205	731
219	205	728
220	205	725
221	206	723
222	206	720
223	207	717
224	207	714
225	207	711
226	208	708
227	208	705
228	208	702
229	209	699
230	209	697
231	209	694
232	210	691
233	210	688
234	210	685
235	211	683
236	211	680
237	211	677
238	211	674
239	212	672
240	212	669
241	212	666
242	213	664
243	213	661
244	213	658
245	214	656
246	214	653
247	214	651
248	215	648
249	215	646
250	215	643
251	215	641
252	216	638
253	216	636
254	216	633
255	217	631
256	217	629
257	217	626
258	218	624
259	218	622
260	218	619
261	219	617
262	219	615
263	219	612
264	220	610
265	220	609
266	221	607
267	221	605
268	222	603
269	222	601
270	222	599
271	223	597
272	223	595
273	223	593
274	224	591
275	224	589
276	225	587
277	225	585
278	225	583
279	226	581
280	226	579
281	226	577
282	227	575
283	227	573
284	227	571
285	228	569
286	228	567
287	228	565
288	229	563
289	229	561
290	229	559
291	229	557
292	230	555
293	230	553
294	230	551
295	231	550
296	231	548
297	231	546
298	232	544
299	232	542
300	232	540
301	233	538
302	233	537
303	233	535
304	234	533
305	234	531
306	234	529
307	235	528
308	235	526
309	235	525
310	236	523
311	236	521
312	237	520
313	237	518
314	237	516
315	238	515
316	238	513
317	238	512
318	239	510
319	239	508
320	239	507
321	240	505
322	240	503
323	240	502
324	241	500
325	241	499
326	241	497
327	242	495
328	242	494
329	242	492
330	242	491
331	243	489
332	243	487
333	243	486
334	244	484
335	244	483
336	244	481
337	245	480
338	245	478
339	245	477
340	246	475
341	246	474
342	246	472
343	247	471
344	247	469
345	247	468
346	248	466
347	248	465
348	248	463
349	248	462
350	249	460
351	249	459
352	249	458
353	250	456
354	250	455
355	251	454
356	251	452
357	251	451
358	252	450
359	252	449
360	253	447
361	253	446
362	253	445
363	254	443
364	254	442
365	254	441
366	255	439
367	255	438
